entity_group,entity_normalized,count,word_versions
LOCATION,##і,2,['##і']
LOCATION,##ії,1,['##ії']
LOCATION,##ї,1,['##ї']
LOCATION,##їв,1,['##їв']
LOCATION,#kyiv,1,['#Kyiv']
LOCATION,) shebekino,1,[') Shebekino']
LOCATION,-,6,['-']
LOCATION,- heinz,1,['- Heinz']
LOCATION,- pacific,1,['- Pacific']
LOCATION,-pacific,1,['-Pacific']
LOCATION,. s,2,['. S']
LOCATION,. s.,3,['. S.']
LOCATION,1,1,['1']
LOCATION,10,2,['10']
LOCATION,10 downing street,3,['10 Downing Street']
LOCATION,17,1,['17']
LOCATION,2,16,['2']
LOCATION,22,1,['22']
LOCATION,3,2,['3']
LOCATION,3rd maternity,1,['3rd Maternity']
LOCATION,6,2,['6']
LOCATION,8,1,['8']
LOCATION,a,35,"['A', 'a']"
LOCATION,a studio rubin,1,['A studio Rubin']
LOCATION,a1,1,['A1']
LOCATION,a14,1,['A14']
LOCATION,a2,1,['A2']
LOCATION,aachen,7,['Aachen']
LOCATION,aalborg,2,['Aalborg']
LOCATION,aar kyiv,1,['aar Kyiv']
LOCATION,abakan,1,['Abakan']
LOCATION,aberdeen,5,['Aberdeen']
LOCATION,aberfeldy,1,['Aberfeldy']
LOCATION,abkhazia,35,['Abkhazia']
LOCATION,abkhazia street,2,['Abkhazia Street']
LOCATION,abqaiq,2,['Abqaiq']
LOCATION,abrikosivka,2,['Abrikosivka']
LOCATION,abruzzo,1,['Abruzzo']
LOCATION,abu dhabi,117,['Abu Dhabi']
LOCATION,abyssinia,1,['Abyssinia']
LOCATION,achill island,4,['Achill Island']
LOCATION,achinsk,1,['Achinsk']
LOCATION,acropolis,3,['Acropolis']
LOCATION,ad,3,"['Ad', 'ad']"
LOCATION,adazi,1,['Adazi']
LOCATION,addis,1,['Addis']
LOCATION,addis ababa,5,['Addis Ababa']
LOCATION,addis ababain ethiopia,1,['Addis Ababain Ethiopia']
LOCATION,addis ababaon,1,['Addis Ababaon']
LOCATION,addis abeba,3,['Addis Abeba']
LOCATION,adelaide,4,['Adelaide']
LOCATION,adiz,2,['Adiz']
LOCATION,adler,6,['Adler']
LOCATION,admiralska street,1,['Admiralska Street']
LOCATION,adolf hitler square,1,['Adolf Hitler Square']
LOCATION,adoni,1,['Adoni']
LOCATION,adonis,3,['Adonis']
LOCATION,adria,1,['Adria']
LOCATION,adriatic,1,['Adriatic']
LOCATION,adriatic sea,4,['Adriatic Sea']
LOCATION,adviika,1,['Adviika']
LOCATION,adviivka,2,['Adviivka']
LOCATION,adygea,5,['Adygea']
LOCATION,aegean,3,['Aegean']
LOCATION,aegean sea,3,['Aegean Sea']
LOCATION,aegina,1,['Aegina']
LOCATION,afar,1,['Afar']
LOCATION,afghanistan,248,['Afghanistan']
LOCATION,afipsky,2,['Afipsky']
LOCATION,afric,1,['Afric']
LOCATION,africa,549,['Africa']
LOCATION,agenan,1,['Agenan']
LOCATION,agincourt,1,['Agincourt']
LOCATION,agra,1,['Agra']
LOCATION,ahli,1,['Ahli']
LOCATION,ahmedabad,2,['Ahmedabad']
LOCATION,air,1,['Air']
LOCATION,airbase 101,5,['Airbase 101']
LOCATION,aka sievierodonetsk,1,['AKA Sievierodonetsk']
LOCATION,akhmat,5,['Akhmat']
LOCATION,akhmat grozny,1,['Akhmat Grozny']
LOCATION,akhtarsk,1,['Akhtarsk']
LOCATION,akhtubinsk,5,['Akhtubinsk']
LOCATION,akkuyu,6,['Akkuyu']
LOCATION,aksaysky,1,['Aksaysky']
LOCATION,aktau,16,['Aktau']
LOCATION,akub,1,['Akub']
LOCATION,akula,1,['Akula']
LOCATION,al - adha,1,['al - Adha']
LOCATION,al - kharruba,1,['Al - Kharruba']
LOCATION,al - qantara,1,['al - Qantara']
LOCATION,al udeid,7,"['Al Udeid', 'al Udeid']"
LOCATION,al-,1,['al-']
LOCATION,alabama,18,['Alabama']
LOCATION,alabuga,4,['Alabuga']
LOCATION,alabuga special economic zone,1,['Alabuga Special Economic Zone']
LOCATION,alabugasp,1,['Alabugasp']
LOCATION,alabugaspecial,1,['Alabugaspecial']
LOCATION,alakurtti,3,['Alakurtti']
LOCATION,alaska,251,['Alaska']
LOCATION,alaska air defense identification zone,1,['Alaska Air Defense Identification Zone']
LOCATION,alaska people ’ s republic,1,['Alaska People ’ s Republic']
LOCATION,alaska us,1,['Alaska US']
LOCATION,alba,1,['Alba']
LOCATION,albania,89,['Albania']
LOCATION,albert hall,1,['Albert Hall']
LOCATION,albert ii boulevard,1,['Albert II Boulevard']
LOCATION,alberta,5,['Alberta']
LOCATION,albertville,1,['Albertville']
LOCATION,alchevsk,2,['Alchevsk']
LOCATION,aldabra,2,['Aldabra']
LOCATION,alden biesen,2,['Alden Biesen']
LOCATION,aldermaston,3,['Aldermaston']
LOCATION,aldwych,1,['Aldwych']
